übbehet,ebu1hbo2
übbehet/übhet,ebu1hbo2
übeyy,eo9bu1o4y
übhet,ebu1hbo2
ü,bo5w
übüvvet,ebu1wbo2
üç anbarlı,ewxu3 ebo1bu1erly
üç-beş,ewxu3 bu1so3
üçbin-beşbin,ewxu3 bu1yko3 bu1so3 bu1yko3
üçbinden,ewxu3 bu1yko3dbo1
üçbin,ewxu3 bu1yko3
üçbuçuk,ewxu3 bu1xu3fo2
üç defa,ewxu3 dfo1ah
üç defa,ewxu3 dfo1ah||
üçden,exu3dbo1
üç-dördü,ewxu3 drdy
üç-dört,ewxu3 drbo2
üçe,ewxu3h
üçer,ewxu1r
üçer,ewxu3r
üç,ewxu3
üç kat etmek,ewxu3 fo2ebo2 e
üç kat,ewxu3 fo2ebo2
üç kat olmak,ewxu3 fo2ebo2 ew
üç kere,ewxu3 krh
üç kere,ewxu3 krh||
üçle,ewxu1lh||
üçleme,ewxu1lh||mh||
üçleme,ewxu1lh||mh
üçlemek,ewxu1lh||mk
üçlemek,ewxu1lh||mk
ücra,ewxu1re
ücrâ,ewxu1re
ücrete,exu1rbo2h
ücret,exu1rbo2
ücretidir,eo9xu1rbo2ydr
ücret-i,exu1rbo2u4
ücreti,exu1rbo2y
ücretim,exu1rbo2m
ücretimi,exu1rbo2my
ücretimizi,exu1rbo2mro1y
ücretinden,eo9xu1rbo2bo1dbo1
ücretin,exu1rbo2ko3
ücretini,exu1rbo2bo1y
ücretinin,exu1rbo2bo1ko3
ücretinizi,eo9xu1rbo2ko3ro1y
ücretle,exu1rbo2lh
ücretlerden,exu1rbo2lrdbo1
ücretleri,exu1rbo2lry
ücretlerinden,exu1rbo2lrbo1dbo1
ücretlerin,exu1rbo2lrko3
ücretlerini,exu1rbo2lrybo1y
ücretleriyle,exu1rbo2lrylh
ücretli,exu1rbo2ly
ücretsiz,exu1rbo2sro1
ücretteki,eo9xu1rbo2dh||ky
ücretten,exu1rbo2dbo1
ücrettir,exu1rbo2dr
üç sefer,ewxu3 sfo1r
üçte bir,ewxu3dh bu1r
üçte,ewxu3dh
üçten,ewxu3dbo1
üçtür,ewxu3dr
üçü,ewxu3y
üçümüz,ewxu3mro1
üçümüzün,ewxu3mro1ko3
üçüncüde,ewxu3bo1xu1ydh
üçüncü,ewxu3bo1xu1y
üçüncünün,ewxu3bo1xu1ybo1ko3
üçüncüsü,ewxu3bo1xu1ysy
üçüncüsünde,ewxu3bo1xu1ysbo1dh
üçüncüsünü,ewxu3bo1xu1ysbo1y
üçüncüsünün,ewxu3bo1xu1ysbo1ko3
üçüncüye,ewxu3bo1xu1y||yh
üçünde,ewxu3bo1dh
üçüne,ewxu3bo1h
üçünü,ewxu3bo1y
üçünün,ewxu3ybo1ko3
