
e,bo5h,ئه
e,bo5h||,ئه‌
e,e,ا
e,h,ه
e,h||,ه‌
eacib,eaexu1bu1,اعاجب
eamm,eam,اعم
eamm,eo4ao4emo8o0,اَعَامّْ
eamm,eo5amo8,أعمّ
eammın,eo5amo8ko3,أعمّڭ
east,eysbo2,ایست
eazz,earo1,اعز
eazım,eaeto1m,اعاظم
eazım,eo5aeto1m,أعاظم
eazım-i ricalden biri,eaeto1m rxu1eldbo1 bu1ry,اعاظم رجالدن بری
eazım-ı,eo5aeto1mu4,أعاظمِ
eb'ad,ebu1ad,ابعد
eb'ad,ebu1aed,ابعاد
eb'ad-i selase,ebu1aedbo3lbo3h||,ابعادثلثه‌
eb'ad-ı,eo5bu1aedu4,أبعادِ
eb'addı,eo5bu1addy,أبعددی
eb'addır,eo5bu1addr,أبعددر
eb'âd,ebu1aed,ابعاد
eb'âd-i selase,ebu1aedbo3lbo3h,ابعادثلثه
eb,ebu1,اب
eb,eo5bu1,أب
eb-il,eo5bu1y el,أبی ال
eba,ebu1e,ابا
eba,eo5bu1e,أبا
ebaanced,ebu1eabo1 xu1d,اباعن جد
ebabil,ebu1ebu1yl,ابابیل
ebabil,eo4bu1o4ebu1ylo0,اَبَابیلْ
ebabil,eo5bu1ebu1yl,أبابیل
ebabi̇l,eo4bu1o4ebu1ylo0,اَبَابیلْ
ebad,ebu1ad,ابعد
ebad,ebu1aed,ابعاد
ebalis,ebu1elbu2s,اباليس
ebalis,ebu1elys,ابالیس
ebatil,ebu1etl,اباطل
ebatîlinden,eo5bu1etylbo1dbo1,أباطیلندن
ebced'in,eo5bu1xu1dko3,أبجدڭ
ebced'le,eo5bu1xu1dlh,أبجدله
ebced,ebu1xu1d,ابجد
ebced,eo4bu1o0xu1o4do0,اَبْجَدْ
ebced,eo5bu1xu1d,أبجد
ebcedde,eo5bu1xu1ddh,أبجدده
ebcedhan,ebu1xu1dxo1webo1,ابجدخوان
ebcedhân,ebu1xu1dxo1webo1,ابجدخوان
ebcedi,eo4bu1o0xu1o4du4y,اَبْجَدِی
ebcedi,eo5bu1xu1dy,أبجدی
ebcediye,eo5bu1xu1dyh,أبجدیه
ebcediyle,eo5bu1xu1dylh,أبجدیله
ebcedi̇,eo4bu1o0xu1o4du4y,اَبْجَدِی
ebcedle,eo5bu1xu1dlh,أبجدله
ebcedleriyle,eo5bu1xu1dlrylh,أبجدلریله
ebcedli,eo5bu1xu1dly,أبجدلی
ebcedî,eo4bu1o0xu1o4du4bu2,اَبْجَدِي
ebcedî,eo5bu1xu1dy,أبجدی
ebcedîsi,eo5bu1xu1dysy,أبجدیسی
ebcedîsine,eo5bu1xu1dysbo1h,أبجدیسنه
ebcedîsinin,eo5bu1xu1dysbo1ko3,أبجدیسنڭ
ebcedîsiyle,eo5bu1xu1dysylh,أبجدیسیله
ebcedîyi,eo5bu1xu1dy||yy,أبجدی‌یی
ebdal,ebu1del,ابدال
ebdal,eo5bu1del,أبدال
