'add etmek
adım
aferin
aforoz
aforoz
afv etmek
afv etmek
afv olunmaz
afv
afvetmez
afvi âmm
afyon
afyonruhu
afîf
afîfe
agniyâ
agâz etmek
ah çekmek
ah
ahad
ahar
ahara temlîk etmek
ahbâb takımı
ahd-nâme
ahd
ahir
ahiretlik
ahlâk
ahlât
ahmak defteri
ahmak
ahmer
ahres
ahsâs
ahur
ahvel
ahvâl-i beşeriyye
ahz etmek
ahz u girift etmek
ahz u girift
ahz u kabûl
ahz ü itâ
ahz
ahâlî
ahâlîden hâlî kılmak
ahşab
ahşap
ahşâb
ak mermer
ak sakallı
ak sakallı
ak-sulemen
ak
akar
akbaba
akciğer
akd etmek
akd etmek
akd-i nikâh
akd
akdamar
akdamardan ibâret olan
akdamarlara müteallik olan
akl etmek
akl öğretmek
akl
akla bâliğ olmak
akla bâliğ
akla sığar
aklsız
aklî
aklı başına gelmek
aklı başında olmak
aklı başında olmaklık
aklı başında
aklı başındadır
aklıma bir şey geliyor
aklıma geliyor
aklına gelmek üzere
aklına getirmek
aklına getirmek
aklına kabûl etmek
aklına koymak
aklına şey koymak
aklından çıkarmak
aklını başına getirmek
aklını başına getirmek
aklını vermek
aklını çelmek
akmak
akmamak
akmayan
akmaz
akraba
akrabadan
akrabalık
akrabâ
akrep
akrân
aks etmek
aks
aksa
aksak
aksilik
aksî
aksımak
aksırmak
aksırık
aksırış
akâ'id
akâid
akçe
akçece
akçeye müteallik
akîde
akîk
akıcı nesne
akıl etmek
akıl öğretmek
akılda saklamak
akılda tutmak
akıldan hâric
akıllı
akıllılık
akılsız
akılsızlık
akın
akıntı yeri
akıntı
akıp geçmek
akıtmak
akşam cemiyeti
akşam karanlığı
akşam kararması
akşam ne yiyeceğini sabahleyin bilmemek
akşam tez olmak
akşam vakti
akşam yemeği
akşam
al
al
ala karga
ala tenli
ala-hafiyyeten
ala
ala
alabalık
alabanda
alaca
alacaklı
alafranga
alak bulak
alan
alargada
alay emini
alay
aldanmış
aldanış
aldatmak
aldatış
aldırmak
aldırmamak
ale-l-acele
ale-l-husûs
ale-l-ittifâk
ale-l-münâvebe
ale-l-umûm
ale-t-tedrîc
alel-l-gafle
alelacele
alem
alenen ikrâr etmek
alenî
alet-t-tevâlî
alev ile yanar
alev vermek
alev
alevlendirmek
alevlenmek
alevli
aleyhinde
aleyhine çıkışmak
aleyhine
alim-allah
aliyyu-l-âlâ
aliyyü-l-alâ
alkışlamak
allah
allaha sen
allaha ısmarladık
allâm
almak
almamak
alt etmek
alt eşiği
alt tarafını söylemek
alt yana
alt yanda
alt yandaki
alt yanı
alt yanına
alt yanında
alt yanını söylemek
alt üst etmek
alt üst
alta
altmış
altta kalmaz
altta olan
altta
altı buçuk arşın
altı buçuk arşınlık ölçü
altı
altıda bir
altın otu
altın top
altın top
altın varakı
altın
altına gübre sermek
altına gümüşe katılan bakır
altına
altıncı
altında
altında
altından
altını kazmak
altıparmak
alâim-üs-semâ
alâim
alâka etmek
alâka
alâmet olmak
alâmet
alçak
alçakgönüllü
alçı
alîl kimesne (kimse)
alîl
alîm
alıcı
alıkoymak
alım
alın
alınamaz
alınız sizindir
alıp gitmek
alıp götürmek
alıp kaçmak
alıp verecek
alıp vereceği olmak
alıp vereceğimiz kalmadı
alıvermek
alış
alışmak
alışmamış
alışmış olmak
alışmış
alıştırmak
alışveriş etmek
alışveriş
alışveriş
alışık olmak
alışık
ama
ambar
amberbaris
amca oğlu
amca
amden
amdî
amel etmek
amel vermek
amel
ameliyyât
amiral
amm
ammâ
ammî
amuca
amân demek
amân talep etmek
amîk
amûd
amûdî
an-asl
an-ı vâhid sürer sürmez
an
ana dili
ana direğin bastığı yer
ana tarafından
ana
ana
anafor
anahtar
ananas
anason
anbar ağzı
anbar kapağı
anbar
anber
anberbaris
anbâr
and içmek
and
andelib
andırmak
andırıp geçmek
andırış
ankebût
ankâ
anlamak
anlar
anlatmak
anlayış
anlaşılamaz
anlaşılmaz bir madde
anlaşılmaz
anmak
ansız
ansızın
antika
antîka
anvet
anâdil
anâsır-ı erba'
anı
anıda
anın
anınki
anırmak
apansız
ara sıra vâki olan
ara sıra
ara vermeyerek
ara
arab
araba bargiri
araba ile gezmek
araba
arabacı
arada bulunmak
arada olmak
arada sırada
arada
arak nev'inden
arak
aralık
aralıktan bakmak
arama
aramak
aramaklık
aranılır
arap atı
arap
arası yok
arasına
arasında
aratmak
araya girmek
araya girmeklik
araya koymak
araya sokmak
araya
arayıp bulmak
arayış
araz
arazî
ard
ardı arası olmayan
ardı arası olmayarak
ardı sıra
ardına düşmek
ardına gitmek
ardına
ardında
argaç
ark
arka kemiği
arka olmak
arka
arkadaş
arkadaşlık etmek
arkadaşlık
arkası işlememek
arkası sıra gelmek
arkasına düşmek
arkasına
arkasında
arkuri (aykırı)
arkuri
arkırı
arma
armut
arpa saman
arpa suyu mayası
arpa suyu
arpa
arpacık
arpalık
arsa
arslan
arsız
arsızlık
art
artan
artmak
artmış parça
artmış
artık
artırmak
arz etmek
arz-ı aşk etmek
arz-ı beled
arz-ı hâl vermek
arz-ı hâl
arz-ı ubûdiyyet etmek
arz-ı ubûdiyyet
arz
arz
arzu etmek
arzu olunur
arzu
arzulamak
arzulamak
arzî
arzû-mend
arâf
arâzi
arâzî
arîz
arîza
arûs
arı kovanı
arı sesi
arı sürüsü
arı
arık
arıklamak
arş
arş
arşın
asabe
asamm
asel
asfer
asfûr
ashâb-ı menâsıbtan olan
asilzâde
asitân
asker acemisi
asker alayı
asker eskisi
asker gemisi
asker koymak
asker neferi
asker rubası
asker tahrîri
asker yürümesi
asker
askerin yol tezkeresi
askerlik etmek
askerliğe yazmak
askerliğe yazılmak
askerî
askerîden olmayan
askı
asl vatan
asl
aslâ
aslî
aslı var
aslı yok faslı yok
aslı yok gibi
aslı yok
aslı yoktan
asma kilidi
asma
asmak
asr-ı vâhid adamları
asr
asrî
astar çekmek
astar
asâ-yi hükûmet
asâ
asâkir-i hâssa
asâkir-i muntazama
asâletli
asîl
asûde
asıl kara
asıl kendi
asıl maslahat sâhibi
asıl mâl sâhibi
asıl
asılmak
asır
at ile gezmek
at ile
at tarağı
at
atar
atebe
ateş almak
ateş almamak
ateş etmek
ateş gemisi
ateş gibi
ateş kesilmek
ateş vermek
ateş çakmak
ateş
ateşe göstermek
ateşli
atf etmek
atim
atiyye
atkı
atlamak
atlas
atlayıp geçmek
atlayış
atlayış
atlı
atma
atmaca
atmak
atse
atsineği
atsân etmek
attan düşürmek
atâlet
atîk
atûh getirmiş
atûh
atıcı
atılma
atılmak
atılış
atım
atından düşürmek
atıvermek
atış
atş
atşân olmak
atşân
av atı
av tüfeği
av
av
ava gidiş
ava gitmek
avadanlık
avcı başı
avcı
avdet borusu
avdet etmek
avdet
avlak
avlamak
avlu
avn
avrat
avret yeri
avret yerleri
avukat
avuç dolusu
avâ'id
avâid
avâm-pesend
avâm-ı nâs
avâm-ı nâsdan biri
avâmm-ı nâs
avına gitmek
ay aydınlığı
ay başı
ay
ayak altına almak
ayak atmak
ayak basacak yer
ayak basmak
ayak basmamış
ayak izi
ayak kapanması
ayak parmağı
ayak takımı
ayak teri
ayak yastığı
ayak çalmak
ayak öpmek
ayak
ayakdaş
ayakkabı
ayaklanmak
ayaklanmış halk kalabalığı
ayaklanış
ayaklanış
ayakları sakat
ayakta durmak
ayakta
ayartmak
ayartmaya bakmak
ayartmaya çalışmak
ayarına bakmak
ayazma
ayağa kalkmak
ayağı kapanmak
ayağı kapanıp düşmek
ayağın üstü
ayağını kaydırmak
ayağını sakat etmek
ayağını çarpmak
ayb olmak
ayb u noksândan hâlî
ayb
aybaşı
aydınlandırmak
aydınlanmak
aydınlık bacası
aydınlık etmek
aydınlık vermek
aydınlık
aydınlığını kesmek
ayet-i kerîme
aygır
aykırı
aylık bağlamak
aylık
aylıksız
ayn-üş-şems
ayn
aynını almak
aynını yapmak
aynını yazmak
ayran
ayrı ayrı koymak
ayrı ayrı
ayrı kapamak
ayrı
ayrıca ve mahsûs olan meclis
ayrılmak
ayrılmamak
ayrılmaz gölgesi
ayrılış
aytlamak
ayva
ayyak
ayyâşlık
ayân başı
ayân
ayânen
ayâr etmek
ayâr
ayîne
ayı
ayıbalığı
ayık
ayılmak
ayıltmak
ayın on beşi
ayıp!
ayırd etmek
ayırmak
az bir şey
az bulunur
az buçuk bir şey
az kaldı
az kullanmak
az pişmiş
az sonra
az yer az içer
az
azalma
azalmak
azaltma
azaltmak
azaltılma
azam
azar azar
azar
azarlamak
azdırmak
azl etmek
azl
azlık
azv etmek
azâb etmek
azâd etmek
azâd
azâdlık
azâmet
azâmetli
azâr
azâsı olmak
azîm derd
azîm keder
azîm ve elîm
azîm ıztırâb
azîm
azîmet etmek
azîmet
azîz tutmak
azîz tutmak
azîz
azı
azılı domuz
aç bırakmak
aç durmak
aç kalmak
aç koymak
aç olmak
aç
açgözlü
açgözlü
açlık çekmek
açlık çekmek
açlık
açlıktan ölmek
açlıktan ölmek
açma
açmak
açık kalmak
açık meydân
açık meşreb
açık mâî (mavi)
açık söylemek
açık yer
açık
açıklık
açıktan açığa
açılma
açılmak
açılmamış tüy kalem
açılmış fıçı
açılıvermek
ağ dolusu
ağ
ağa
ağarmak
ağarmaya başlamak
ağartmak
ağaç kabuğu
ağaç kavunu
ağaç kırıntısı
ağaç çileği
ağaç
ağaçkakan
ağaçtan
ağlama
ağlamak
ağlamakta nefesi içeri çekmek
ağlamakta nefesin şiddetle içeri çekilmesi
ağlayacağı gelmek
ağrı
ağrımak
ağrına dokunmak
ağsak
ağsımak
ağu
ağustos
ağz
ağza almak
ağzın suyu
ağzına gem vurmak
ağzından lakırdı almaya bakmak
ağzından lakırdı kapmak
ağzını açmak
ağzını bağlamak
ağzını bozmak
ağzını kapamak
ağzını kapatmak
ağzını yoklamak
ağâz etmek
ağıl
ağıla kapamak
ağır fiyat
ağır kokar
ağır koku
ağır yürümek
ağır
ağır
ağırlık
ağırmış
ağız otu
ağız tatlılığı
ağız yanlışlığı
ağız
ağız
ağızdan
ağızlamak
aşağı almak
aşağı atmak
aşağı basmak
aşağı doğru
aşağı göndermek
aşağı inmek
aşağı kalmaz
aşağı kıvrılmak
aşağı rütbede
aşağı varmak
aşağı yatmak
aşağı yukarı gezinmek
aşağı yukarı
aşağı
aşağıda
aşağıki
aşağılatmak
aşere
aşermek
aşikâr
aşinâlık etmek
aşinâlık
aşk
aşkına içmek
aşkına şarap içilen kimse
aşkına şarap içmek
aşkınıza
aşlamak
aşlatmak
aşmak
aşâ-i rabbânî
aşâir
aşâr
aşçı
aşîret
aşı boyası
aşı
aşık
aşılamak
aşılatmak
aşındırmak
aşındırmak
aşınmak
aşırmak
aşırı
ba'da
ba'dahu
ba'dehu
ba's olunmak
ba's
baba
babacık
babafinga çubuğu
bac
baca
baca
bacak
bacak
bacaklı
bacaksız
bacanah
bacanak
bacanakzâde
bacı
badana etmek
badana vurmak
badana
badarak
badarak
bade-l-mevt
badem
badiya
bagl
bahar
bahis
bahr-ı muhît
bahr
bahriyye ferîki
bahriyye kapısı
bahriyye mülâzımlığı tâlibi
bahriyye paşası
bahriyye tüfekçisi
bahriyye
bahrî
bahs etmek
bahs tutmak
bahs
bahsetmek
bahsine gelince
baht
bahta havâle etmek
bahtlı
bahtsız
bahtsızlık
bahtına güvenir mechûlü'l-asl kimse
bahâ (paha)
bahâ artmak
bahâ
bahâdır kadın
bahâdır
bahâdırâne
bahâne bulmak
bahâne
bahâya çıkmak
bahçe tarağı
bahçe
bahçıvân
bahş etmek
bahşiş vermek
bahşiş
bahşişini vermek
bakakalmak
bakiyye
bakkal
bakkam
bakkâl
bakla kırı
bakla
bakmak
bakmak
bakmamak
bakraç
bakâyâ
bakıcı
bakınmak
bakır tel
bakır
bakırcı
bakırlar
bakırın yeşil pası
bakıvermek
bakıyor
bakış
bal arısı
bal
baldır
baldız
balgam
balin
balmumu sürmek
balmumu
balo
balon
balta
balâsına
balâsında
balçık
balık avlamak
balık avlayıcı
balık avı
balık eti
balık kanadı
balık kılçığı
balık nefsi
balık pulu
balık satıcı
balık sürüsü
balık tutkalı
balık yavrusu
balık yumurtası
balık
balıkçı
balığın kulakları
bana
bandara
bandıra
banka
banya
banyo
bar
barbunya
bardak
bardak
barut sesi
barut veznesi
barut
baruthâne
barınacak yer
barınmak
barış görüş
barışmak
barıştırmak
barışık
basamak
basar
baskı
baskın gelmek
baskın
baskın
basl
basma destgâhı
basma resim
basma
basmacılar esnâfı
basmahâne
basmak
bast etmek
bast-ı kelâm etmek
bast-ı mukaddime etmek
bastırmak
basîret
basîretli
basîretsiz
basîretsiz
basık
basış
batacak
batak
batak
bataklık
bataklık
batmak
battal etmek
battâl etmek
batî
batı
batın
batırmak
bayat
bayağı gün
bayağı lisân
bayağı
baygın gibi olmak
baygın
baykuş
bayrak
bayrakdar
bayrakdâr
bayrâm
baytâr
baytârî
bayılacak
bayılma
bayılmak
bayılmış
bayır
bazen dûçâr
bazen giriftâr
bazen
bazil
bazirgânlık
bazı kere
bazı mertebe
bazı yerlerini kesmek
bazı
baîd
bağ evi
bağ kütüğü
bağ
bağa
bağdaş kurmak
bağlamak
bağlanmak
bağırma
bağırmak
bağırsak
bağırsak
bağırsak
bağırsak
bağırış
bağırışma
bağırışmak
bağışlamak
bağışlamak
bağışlamak
bağışlamak
baş ağrısı
baş ağrıtmak
baş aşağı yere düşmek
baş aşağı
baş bodoslaması
baş direği
baş dönmeklik
baş dönmesi
baş eğme
baş eğmek
baş ile edilen işâret
baş ile işâret etmek
baş kesme
baş kesmek
baş kıç bağlarını çözmek
baş olmak
baş parmak
baş vekîl
baş üstüne
baş
başa baş
başa geçmek
başak
başarmak
başka başka
başka bir şeyin eseri bile kalmadıktan sonra yaşamak
başka bir
başka hey'ete koymak
başka heyete komak
başka hâl kesb etmek
başka kimsenin yapamayacağı
başka sûrete girmek
başka tarafa dönmek
başka türlü
başka vakit toplanmak üzere meclis şimdilik dağılmak
başka vakte bırakmak
başka vakte ihâle
başka yerde
başka yere
başka yol
başka
başkanın elfâzını îrâd etmek
başkası öldükten sonra bile yaşamak
başkasına benzetmek
başla almak
başlamak
başlangıç
başlangıç
başlatmak
başlı başına
başlı başına
başlıca
başlık
başmaklık
başta olmak
baştan baş
baştan başa gezmek
baştan başa
baştan çıkmak
başvurmak
başvuruş
başı bozuk
başı bozuk
başı dönmek
başı tas
başına gelmek
başına iş çıkarmak
başına varmak
başına zâbit kesilmek
başına zâbıt kesilmek
başını dalmak
başını kesmek
be's yok
be's
be-şart-ı an ki
bebek kundağı
bebek
bebga
bebr
becermek
becermek
bed gelmek
bed huy
bed muâmele
bed nâm etmek
bed' etmek
bed'
bed'i
bed-duâ
bed
bedbaht
bedduâ
bedel olarak
bedel olmak
bedel
bedelen
beden
bedene hizmet etmek
bedestân
bedevî
bedr
bedîd
bedîdâr
bedîhiyy-üz-zuhûr
bedîhî
begâyet
beherine
behre
bekleme
beklemek
bekmez
bekrî
bektâşî üzümü
bekâ
bekâr
bekâret
bekârlık
bekçi
bekçilik etmek
bel vermek
bel' etmek
bel
beli gelmek
beli
belki
belki
bellemek
belli başlı
belli başlı
belli belirsiz piyâde yolu
belli değil
belli olmak
belli
bellisiz
belsoğuğu
belsoğuğu
belâ olmak
belâ
belâgat
ben gitmesem
ben ona bir dolap çeviririm
ben ona bir oyun yaparım
ben
ben
bend etmek
bend
bende
bendeki
benefşe
benek
benekli
benevî
beni
benim bulunduğum hâlde
benim haberim olmayarak
benim hâlimde
benim
benimki
benimkiler
beniz
benzemek
benzemek
benzemez
benzer
benzer
benzetme
benzetmek
benzeyiş
benzi atmış
benzi bembeyaz kesilmek
benzi kalmamak
benzi kalmamış
benzi sararmış
benî âdem
ber-hayât olmak
ber-hayât
ber-siyâkta
ber
beraber
berber
bere
berehne
bereket versin ki
bereket
bereketli
berelenmek
berelenmiş
bereletmek
bereli
berf
bergüzâr
beri
beriye
beriyyü-z-zimme
berk
berr
berrak
berrâk
berrân
bertaraf etmek
berzah
berâat-i zimmet
berâat-üz-zımme
berâber gitmek
berâber gitmek
berâber kaçmak
berâber olmak
berâber
berât
berî
besleme
beslemek hâssası
beslemek
beslenmek
besleyecek
beter
bevl
bey' etmek
bey
beyaz arpa suyu
beyaz üstüpü
beyaz
beyazlanmak
beygir
beyhûde
beyit
beylik memleket
beylik
beyn
beyninde
beynine
beynlerini ıslâh etmek
beyt
beyz (bez)
beyz
beyza
beyzâde bey
beyzâde
beyzî
beyâbân
beyân etmek
beyân
beyânnâme
beyâz maden
bez destgâhî
bez parçası
bez
bez
bezci
bezdirmek
bezelye
bezemek
bezenmek
bezir tohumu
bezir yağı
bezistân
bezl etmek
bezmek
bezr
bezr
bezzâz
bezzâzistân
bezûl
beç tavuğu
beğ
beğenilmek
beğeniş
beğenmek
beğenmemek
beş
beşer
beşeriyyet
beşerî
beşik
beşâşet
beşâşetli
bi'r
bi-gayr-i hakkın
bi-l-bedâhe
bi-l-bidâhe
bi-l-fi'l
bi-l-külliye
bi-z-zarûr
bi-z-zarûre
bi
biber katmak
biber kutusu
biber tanesi
biber
bidat
bidâa
bihûde
bikr
bil-külliye
bil-umni vel-emân
bildik
bildirmek
bile
bilecek
bilek
bilemek
bilemek
bilerek
bilezik
bileği taşı
bileği
bilfiil
bilir
bilivermek
billûr
bilmece
bilmek
bilmez
bilâ-fâsıla
bilâ-hasr
bilâ-ketm
bilâ-muhâlefe
bilâ-mukâbele
bilâ-mâni'in
bilâ-mücâzâten
bilâ-vâsıta
bilâ
bin
binbaşı
binbaşılık
binici
binicilik
binili
biniş
binmek
binmiş
binâ etmek
binâ
binâberîn
binâen 'ala-zalike
binâen-ala-zâlike
binâen-aleyh
binâen-aleyh
binâen-aleyh
binâen-alâ-zâlike
binâenaleyh
binâlar
bir adam
bir akçe etmez
bir akçelik
bir araya geliş
bir araya gelmek
bir araya gelmek
bir daha gelmek
bir daha okumak
bir daha
bir dalda durmaz
bir dalda durmaz
bir defa
bir dereceye kadar
bir değil
bir düziye
bir düziyye
bir felâkete mübtelâ olup yine ölmemek
bir gün sonra
bir hayrı kalmamak
bir hizâda
bir işe yaramaz
bir işin bozulmasına sebeb olan
bir karârda durmamak
bir katını indirmek
bir kere
bir kimesne
bir mikdar
bir miktar
bir nevi kaplan
bir olmak
bir rakı
bir sefer
bir senelik
bir siyâkda
bir sözü bir sözüne uymaz
bir tahmîn etmek
bir takım
bir tarafa koymak
bir tarafa çekilmek
bir tarafa
bir tarafta
bir tarafın tutulması
bir türlü
bir ucunu kaldırmak
bir vakit
bir vakitte
bir vakti bir vaktine uymaz
bir yana
bir yanda
bir yanı tutulması
bir yanından öbür yanına
bir yerde
bir yere gelmek
bir yere
bir yol ile anlatmak
bir yol ile sokmak
bir zamân
bir şey tasavvur ettim
bir şey öğrenmemiş
bir şey
bir
bira
biraz daha
biraz evvel
biraz iyi olmak
biraz sonra
biraz vakitlerden sonra
biraz
birazdan sonra
birazdan
birbiri
birbirine karışmak
birbirine uymaz
birbirine varmak
birbirine yapışmak
birbirini bırakmak
birbirini tanımak
birbirinin ardı sıra
birden bire uyandırmak
birden bire
birden cevelân etmek
birer birer
biri birine uymamak
biri öldükte diğeri ölmemek
biri
birikmek
biriktiriş
biriktirmek
birinci rütbe beyi
birinci
birinin hoşlanacağı şeyin gizli yapılması
birinin nâmına yazmak
birisi
birkaç
birkaç
birkaç
birleşmek
birleştirmek
birlik
birlikte iş görmek
birlikte olmak
birlikte
birtakım
birâder
birâderzâde
birâderzâde
birçok
bit
bitevi yutmak
bitinceye kadar
bitirir
bitirmek
bitişik
bitişmek
bitiştirmek
bitlenmek
bitmek
bitmemek
bitmemiş
bitmiş
bitti
biz
biz
bize
bizi
bizim
bizimki
bizimkiler
bizler
bizlere
bizleri
biçim vakti
biçim vermek
biçim
biçime sokmak
biçimli
biçki
biçmek
bodrum
bodrum
bodrum
bodur
bohça etmek
bohça
bok
bokluca bülbül
boktan nezaket
boktan nizâ' etmek
boktan nizâ'
bol bol
bol
bolina
bolluk
bora
borcu olmak
borcunu vermeyen
borda bordaya
borda
borina
boru gibi
boru çiçeği
boru şeklinde
boru
boru
boruzan
boruzen
borç
borçlu olmak
borçlu
bostân
boy bos
boy vermek
boy
boya almak
boya astarı
boya
boyalı resim
boyamak
boyanmak
boyanın astarını vurmak
boylanmak
boylu
boynunu vurmak
boynuz
boynuz
boysuz
boyun bağı
boyun eğmek
boyun
boyunca
boyunduruk
boz
bozdoğan
bozgun
bozgunluk
bozmak
bozmaya çalışmak
bozuk
bozulmak
bozulmamak
bozulmayacak
bozulmaz
bozulmuş
bozuşmak
bozuşuk
bozuşukluk
boğa
boğaz bezlerinin şişmesi
boğaz
boğazını sıkmak
boğmaca öksürük
boğmak
boğuk
boğulmak
boğâz
boş boğaz
boş geçirmek
boş lakırdı
boş putkal
boş vakit
boş yer
boş şeyler ile eylenip vakit geçirmek
boş
boşa çıkmak
boşalmak
boşaltmak
boşamak
boşanmak
boşatmak
boşboğaz
boşboğâz
boşboğâzlık etmek
boşluk
boşta olmak
boşta
branda
brasa
brizolya
bu gece
bu kadar
bu münâsebetle
bu ne
bu sebebe binâen
bu sebebe mebni
bu sebepten
bu sûretle
bu sûretle
bu takdîrce
bu tarafa buyurun
bu tarafa
bu vechile
bu vâsıta ile
bu yakınlarda
bu yana
bu zamâna gelince
bu önümüzdeki gece
bu'd
bu
bucak
budala
budamak
bugün
buhar
buhrân
buhâr
buhûr
buhûrdan
buhûrdân
bukağı
bulanık
bulaşma
bulaşmak
bulaştırmak
bulaşık
bulaşıklık
bulaşır
bulaşır
bulgârî
bulmak
bulunmak
bulunmama
bulunmaz gibi
bulunmuş
bulunur
bulup vermek
bulut
bulutlu
buluşmak
bulûğ
buna binâen
buna mebni
buna mebnî
buna
bunamış ihtiyâr
bunamış
bunda
bundan akdem
bundan başka
bundan böyle
bundan evvel
bundan mukaddem
bundan sonra
bundan sonra
bundan
bunu
bununla berâber
bura
burada
buralara
buralarda
burası
burasına
burasında
burasını
buraya dek
buraya kadar
buraya
burayı
burgaç
burgu
burkulmak
burkuluş
burkutmak
burma
burmak
burnunu almak
burnunu ezmek
burnunu kırmak
burnunu silmek
burun deliği
burun
burun
buruşmak
buruşmak
buruşturmak
buruşturmak
buruşturmak
buruşuk
buruşuk
buruşuklu
burç
burçak
burûdet
but
butlân
buyurmak
buyursunlar
buyuruldu
buyurun buyurun diye kabûl etmek
buyurun
buz
buzların çözülmesi
buçuk
buğday
buğu ile pişirmek
buğu kuşu
buğu
buğu
buğu
buğusu çıkmak
buğusu çıkmak
buğuya göstermek
buğz
buğâda
bâ'is
bâ-pâye
bâb-ı âlî
bâb
bâcenâh
bâd-nümâ
bâd-âverd
bâd-âverde
bâd-ı hevâ
bâd-ı sabâ
bâd
bâdbân-küşâ-yı azîmet olmak
bâde
bâdibân-küşâ olmak
bâdibân
bâdiye
bâdî olmak
bâdî
bâhir
bâis olmak
bâis-i harâb
bâis-i keder
bâis-i meserret
bâis-i mevt
bâis-i şeref
bâis
bâki kalmak
bâkire
bâkî kalmak
bâkî olmak
bâkî
bâkî
bâliğ olmak
bâliğ
bâlâ
bâlîn
bânî
bâr olmak
bâr
bârgîr (beygir)
bârgîr
bârut
bârân
bârî
bâsûr
bâtıl itikâd
bâtıl
bâtın
bâtınî
bâz
bâzergân
bâzil
bâzirgân teknesi
bâzirgân
bâzirgân
bâzûbend
bî-amân
bî-esâs
bî-gâye
bî-günâh
bî-hadd
bî-hemtâ
bî-lüzûm
bî-misâl
bî-nihâye
bî-nihâye
bî-pervâ
bî-riyâ
bî-vefâ
bî-zevâl
bî
bîbâk
bîhaber
bîhod olmak
bîhod
bîhâdd
bîhûde iş
bîhûde
bîhûdelik
bîkarar
bîkâr
bîle
bîm
bîmarhâne
bînî
bîpâyân
bîrûn
bîrûnunda
bîst
bîve
bîçâre
böbrek
böcek
bölme
bölmek
bölük
bölük
bölünmek
börek
börekçi
böyle
böylece
böğrek
bûs etmek
bûse
bûy-ı şîrîn
bûy
bühtân
büke büke koparmak
büklüm
bükmek
bükâ etmek
bükülmek
bülbül
bülend
bülûğ
bünyâd
bünyân
bürhân
bürrân
bürümcük
bürümcük
bürüncük
büsbütün
bütün bütün
bütün gece yatmamak
bütün
büyü
büyü
büyücek
büyücü karı
büyücü
büyücü
büyük adım atlamak
büyük fıçı
büyük kadeh
büyük oda
büyük ok
büyük ta'lîm günü
büyük talîm
büyük tekne
büyük zâbit
büyük
büyük
büyükana
büyükbaba
büyüklük
büyükvalide
büyümek
büyümüş kız
büyümüş piliç
büyütmek
büzülmek
büzülüş
bıldırcın
bırakmak
bırakmamak
bırakıp gelmek
bırakıp çekilmek
bırakıvermek
bıyık
bıçak saplayıp yaralamak
bıçak saplayıp öldürmek
bıçak yarası
bıçak
bıçakçı
cadde
cadı
cahîm
cak
calapa
cam geçirmek
cam kaplamak
cam
cambaz
camcı macûnu
camcı
camda çizmek
camûs (camış)
can sıkıntısı
can vermek
can çekişmek
can
canfes
canlandırmak
canlanmak
canlı
cansız gibi
cansız
canvar
canı istemek
canı pek
canı sıkılmış
canı çıkmak
carr
cay
ce
cebe-hâne
cebel
cebelikum
cebine koymak
cebr etmek
